Conversation,Family,Time,Work,Games,Internet,Location,Fun,Food,Clothes,Health,Books_Movies,Religion,Romance,Swearing,Politics,Music,School,Feeling,Business,Adjective,Follow,Positive,negative,Article,Personal_pronoun,Auxiliary_Verb,Conjunction,Preposition,Male_female,Age_Class
0.006451613,0.032258065,0.077419355,0,0.006451613,0.006451613,0.012903226,0.019354839,0.032258065,0.064516129,0.006451613,0.032258065,0.012903226,0.058064516,0.006451613,0,0.006451613,0.077419355,0,0,0.096774194,0.006451613,0.064516129,0.019354839,0.038709677,0.2,0.006451613,0.058064516,0.051612903,0,a
0,0.08,0.04,0,0.026666667,0.026666667,0,0,0,0.026666667,0,0.053333333,0,0.053333333,0.04,0,0.013333333,0.12,0,0.013333333,0.053333333,0.013333333,0.053333333,0.013333333,0.026666667,0.12,0.04,0.106666667,0.08,0,b
0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.125,0,0,0.125,0.25,0.125,0,0.125,0,0,a
0,0.129032258,0.064516129,0,0,0.032258065,0,0,0,0.032258065,0,0.064516129,0.032258065,0.032258065,0,0,0.032258065,0.064516129,0,0,0.161290323,0,0.064516129,0,0.032258065,0.064516129,0,0.064516129,0.129032258,0,c
0,0.047619048,0.19047619,0,0,0,0,0,0.047619048,0.047619048,0,0.095238095,0,0,0,0,0.047619048,0.095238095,0,0,0.095238095,0,0,0.047619048,0.047619048,0.095238095,0.047619048,0.095238095,0,0,b
0,0.02173913,0.028985507,0,0,0,0,0.050724638,0,0.057971014,0,0.014492754,0.014492754,0.02173913,0,0,0.014492754,0.028985507,0,0,0.130434783,0,0.057971014,0,0.130434783,0.144927536,0.028985507,0.115942029,0.137681159,0,c
0,0,0.035087719,0.01754386,0.035087719,0,0.035087719,0.01754386,0,0.035087719,0,0.192982456,0,0.035087719,0,0,0.070175439,0.01754386,0,0.01754386,0.052631579,0.087719298,0.035087719,0,0,0.105263158,0.035087719,0.105263158,0.070175439,1,b
0,0.053030303,0.075757576,0.022727273,0.166666667,0,0,0,0.053030303,0.007575758,0,0.022727273,0,0,0.007575758,0,0,0.113636364,0,0.022727273,0.075757576,0,0.03030303,0,0.083333333,0.098484848,0.007575758,0.060606061,0.098484848,1,c
0,0,0,0,0.037037037,0,0.037037037,0,0,0.037037037,0,0,0.074074074,0.037037037,0,0,0,0,0,0,0.222222222,0,0.074074074,0,0.185185185,0.037037037,0.037037037,0.185185185,0.037037037,1,c
0,0.020408163,0.040816327,0.020408163,0.040816327,0,0,0.020408163,0.06122449,0.06122449,0,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0.102040816,0,0,0.12244898,0,0.102040816,0.020408163,0.102040816,0.081632653,0,0.040816327,0.081632653,1,c
0,0.031746032,0.111111111,0,0.158730159,0.015873016,0,0.015873016,0,0,0,0.015873016,0.015873016,0.047619048,0,0,0,0.047619048,0,0,0.158730159,0,0.079365079,0,0.095238095,0.095238095,0.015873016,0,0.095238095,0,a
0,0,0.168831169,0.038961039,0.038961039,0,0,0.025974026,0,0.012987013,0,0.012987013,0.012987013,0.025974026,0,0.012987013,0,0.025974026,0,0.012987013,0.051948052,0,0,0,0.103896104,0.207792208,0.038961039,0.12987013,0.077922078,1,c
0,0.217391304,0,0,0,0,0,0,0,0,0.173913043,0.043478261,0,0.217391304,0,0,0,0.086956522,0,0,0.043478261,0,0.086956522,0,0,0.043478261,0,0,0.086956522,1,c
0,0.142857143,0,0,0.142857143,0,0,0,0,0,0,0,0.047619048,0.047619048,0,0,0,0.19047619,0,0,0.142857143,0.047619048,0,0,0,0.095238095,0,0.095238095,0.047619048,1,c
0,0.023255814,0.069767442,0,0.069767442,0.023255814,0,0,0,0.046511628,0,0.093023256,0.093023256,0,0,0,0,0,0,0,0.069767442,0,0.023255814,0,0.093023256,0.069767442,0.023255814,0.11627907,0.186046512,0,b
0,0.035714286,0.035714286,0,0,0.035714286,0,0,0.035714286,0,0,0,0.214285714,0,0,0,0,0.035714286,0,0,0.035714286,0,0.035714286,0,0.035714286,0.142857143,0.071428571,0.107142857,0.178571429,0,c
0,0.114457831,0.156626506,0.006024096,0,0,0,0.018072289,0.006024096,0.018072289,0,0,0.024096386,0.006024096,0,0.006024096,0.024096386,0.072289157,0,0.036144578,0.048192771,0,0.048192771,0,0.144578313,0.060240964,0,0.084337349,0.126506024,0,b
0.014084507,0.014084507,0.056338028,0,0.028169014,0,0.014084507,0.014084507,0.028169014,0.014084507,0,0,0.014084507,0.014084507,0.028169014,0,0,0.028169014,0,0.014084507,0.056338028,0,0.028169014,0.042253521,0.028169014,0.197183099,0.028169014,0.211267606,0.126760563,0,a
0,0.032258065,0.043010753,0,0.010752688,0.010752688,0,0.021505376,0,0,0,0.053763441,0.010752688,0.107526882,0.010752688,0,0,0.096774194,0,0.010752688,0.064516129,0.021505376,0.107526882,0.021505376,0.010752688,0.204301075,0.010752688,0.11827957,0.032258065,0,a
0,0,0.235294118,0.058823529,0,0,0,0,0,0,0,0,0.058823529,0.058823529,0,0,0,0.117647059,0,0,0.117647059,0,0,0,0.117647059,0.058823529,0.058823529,0.117647059,0,0,a
0,0,0.153846154,0,0,0,0,0,0,0.153846154,0,0,0,0,0,0,0,0,0,0,0.307692308,0,0.153846154,0,0,0,0,0.076923077,0.153846154,0,a
0,0.105263158,0.039473684,0,0.052631579,0,0.026315789,0,0.039473684,0,0,0.026315789,0.065789474,0.052631579,0.013157895,0,0.013157895,0.039473684,0,0,0.092105263,0,0.039473684,0,0.052631579,0.184210526,0,0.065789474,0.092105263,0,a
0,0.03030303,0.060606061,0,0,0.03030303,0,0,0.060606061,0,0,0,0,0,0.03030303,0,0.03030303,0.03030303,0,0.03030303,0.212121212,0,0.060606061,0,0.151515152,0.090909091,0,0.090909091,0.090909091,1,a
0,0.052631579,0.026315789,0,0.105263158,0,0,0.052631579,0,0,0,0.026315789,0,0,0.052631579,0.052631579,0,0.052631579,0,0,0.105263158,0,0,0.052631579,0.131578947,0.078947368,0,0.052631579,0.157894737,1,a
0,0.009615385,0.038461538,0,0.038461538,0,0.009615385,0,0.028846154,0.038461538,0,0.009615385,0,0.048076923,0.019230769,0.019230769,0,0.067307692,0,0,0.057692308,0,0.009615385,0.028846154,0.057692308,0.153846154,0.038461538,0.086538462,0.240384615,1,a
0,0.038461538,0.032967033,0,0,0.005494505,0.010989011,0.005494505,0.005494505,0.016483516,0,0.005494505,0,0.005494505,0.181318681,0.005494505,0.005494505,0.032967033,0,0,0.082417582,0.005494505,0.027472527,0.181318681,0.032967033,0.175824176,0.010989011,0.06043956,0.071428571,1,a
0,0.022556391,0.097744361,0.022556391,0.030075188,0.007518797,0.007518797,0.037593985,0,0,0,0.052631579,0,0.022556391,0.015037594,0,0.037593985,0.052631579,0,0,0.07518797,0.015037594,0.045112782,0,0.045112782,0.172932331,0.007518797,0.120300752,0.112781955,1,b
